Year,Mileage,Price,Trim,Drivetrain,Seller Type,Province,Source Record ID,Observed At
2024,12000,52000,Lariat,4WD,Dealer,AB,demo-001,2026-08-20
2024,18000,49500,XLT,4WD,Dealer,AB,demo-002,2026-08-20
2024,8000,55000,Lariat,4WD,Dealer,AB,demo-003,2026-08-19
2024,22000,47000,XLT,2WD,Private,AB,demo-004,2026-08-19
2024,15000,51000,XLT,4WD,Private,AB,demo-005,2026-08-18
2023,32000,45000,XLT,4WD,Dealer,AB,demo-006,2026-08-20
2023,40000,42500,XL,4WD,Dealer,AB,demo-007,2026-08-20
2023,28000,47500,Lariat,4WD,Private,AB,demo-008,2026-08-19
2023,35000,43000,XLT,2WD,Dealer,AB,demo-009,2026-08-18
2023,25000,48000,Lariat,4WD,Dealer,AB,demo-010,2026-08-17
2023,45000,40000,XL,2WD,Private,AB,demo-011,2026-08-16
2022,55000,38000,XLT,4WD,Dealer,AB,demo-012,2026-08-20
2022,48000,40500,Lariat,4WD,Dealer,AB,demo-013,2026-08-20
2022,60000,36000,XL,4WD,Private,AB,demo-014,2026-08-19
2022,42000,41000,XLT,4WD,Private,AB,demo-015,2026-08-18
2022,52000,37500,XLT,2WD,Dealer,AB,demo-016,2026-08-17
2022,65000,35000,XL,2WD,Private,AB,demo-017,2026-08-16
2021,72000,33000,XLT,4WD,Dealer,AB,demo-018,2026-08-20
2021,68000,34500,Lariat,4WD,Dealer,AB,demo-019,2026-08-19
2021,80000,31000,XL,4WD,Private,AB,demo-020,2026-08-18
2021,75000,32000,XLT,2WD,Private,AB,demo-021,2026-08-17
2021,60000,35500,Lariat,4WD,Dealer,AB,demo-022,2026-08-16
2020,90000,28000,XLT,4WD,Dealer,AB,demo-023,2026-08-20
2020,85000,29500,Lariat,4WD,Private,AB,demo-024,2026-08-19
2020,95000,26500,XL,2WD,Dealer,AB,demo-025,2026-08-18
2020,88000,27500,XLT,4WD,Private,AB,demo-026,2026-08-17
2020,100000,25000,XL,4WD,Dealer,AB,demo-027,2026-08-16
2019,110000,23000,XLT,4WD,Dealer,AB,demo-028,2026-08-20
2019,105000,24500,Lariat,4WD,Private,AB,demo-029,2026-08-19
2019,120000,21000,XL,2WD,Dealer,AB,demo-030,2026-08-18
2019,115000,22000,XLT,4WD,Private,AB,demo-031,2026-08-17
2024,20000,68000,Lariat,4WD,Dealer,AB,demo-032,2026-08-20
2024,15000,62000,XLT,4WD,Dealer,AB,demo-033,2026-08-19
2024,10000,72000,Platinum,4WD,Dealer,AB,demo-034,2026-08-18
2024,25000,60000,XLT,2WD,Private,AB,demo-035,2026-08-17
2024,18000,65000,Lariat,4WD,Private,AB,demo-036,2026-08-16
2023,35000,58000,Lariat,4WD,Dealer,AB,demo-037,2026-08-20
2023,42000,55000,XLT,4WD,Dealer,AB,demo-038,2026-08-19
2023,30000,60000,Lariat,4WD,Private,AB,demo-039,2026-08-18
2023,48000,52000,XLT,2WD,Dealer,AB,demo-040,2026-08-17
2023,38000,56500,Lariat,4WD,Dealer,AB,demo-041,2026-08-16
2022,58000,48000,Lariat,4WD,Dealer,AB,demo-042,2026-08-20
2022,65000,45000,XLT,4WD,Private,AB,demo-043,2026-08-19
2022,52000,50000,Lariat,4WD,Dealer,AB,demo-044,2026-08-18
2022,70000,43000,XLT,2WD,Dealer,AB,demo-045,2026-08-17
2022,60000,46500,XLT,4WD,Private,AB,demo-046,2026-08-16
2021,78000,40000,Lariat,4WD,Dealer,AB,demo-047,2026-08-20
2021,85000,37500,XLT,4WD,Private,AB,demo-048,2026-08-19
2021,72000,41000,Lariat,4WD,Dealer,AB,demo-049,2026-08-18
2021,90000,35000,XLT,2WD,Dealer,AB,demo-050,2026-08-17
2021,80000,38500,XLT,4WD,Private,AB,demo-051,2026-08-16
2020,95000,33000,Lariat,4WD,Dealer,AB,demo-052,2026-08-20
2020,105000,30000,XLT,4WD,Private,AB,demo-053,2026-08-19
2020,90000,34000,Lariat,4WD,Dealer,AB,demo-054,2026-08-18
2020,110000,28000,XL,2WD,Dealer,AB,demo-055,2026-08-17
2020,100000,31000,XLT,4WD,Private,AB,demo-056,2026-08-16
2023,30000,42000,TRD Sport,4WD,Dealer,AB,demo-057,2026-08-20
2023,38000,40000,SR5,4WD,Dealer,AB,demo-058,2026-08-19
2023,25000,44000,TRD Off-Road,4WD,Private,AB,demo-059,2026-08-18
2022,50000,38000,SR5,4WD,Dealer,AB,demo-060,2026-08-17
2022,55000,36500,SR5,2WD,Private,AB,demo-061,2026-08-16
2021,70000,33000,TRD Sport,4WD,Dealer,AB,demo-062,2026-08-20
2021,75000,31500,SR5,4WD,Private,AB,demo-063,2026-08-19
2020,90000,28000,SR5,4WD,Dealer,AB,demo-064,2026-08-18
2024,15000,45000,Big Bend,4WD,Dealer,AB,demo-065,2026-08-20
2024,20000,43000,Big Bend,4WD,Private,AB,demo-066,2026-08-19
2023,30000,40000,XLT,4WD,Dealer,AB,demo-067,2026-08-18
2023,35000,38500,XL,4WD,Dealer,AB,demo-068,2026-08-17
2022,50000,34000,XLT,4WD,Private,AB,demo-069,2026-08-16
2022,55000,32500,XL,4WD,Dealer,AB,demo-070,2026-08-20
2021,65000,29000,XLT,4WD,Private,AB,demo-071,2026-08-19
2021,70000,27500,XL,2WD,Dealer,AB,demo-072,2026-08-18
2024,12000,48000,Trail Boss,4WD,Dealer,AB,demo-073,2026-08-20
2024,18000,52000,LT,4WD,Dealer,AB,demo-074,2026-08-19
2023,30000,45000,LT,4WD,Private,AB,demo-075,2026-08-18
2023,35000,43000,Custom,4WD,Dealer,AB,demo-076,2026-08-17
2022,50000,40000,LT,4WD,Dealer,AB,demo-077,2026-08-16
2022,55000,38000,Custom,2WD,Private,AB,demo-078,2026-08-20
2021,70000,35000,LT,4WD,Dealer,AB,demo-079,2026-08-19
2021,78000,33000,Custom,4WD,Private,AB,demo-080,2026-08-18
