Year,Mileage,Price,Trim,Drivetrain,Seller Type,Province,Source Record ID,Observed At
2024,12000,52000,Lariat,4WD,Dealer,AB,f150-001,2026-08-20
2024,18000,49500,XLT,4WD,Dealer,AB,f150-002,2026-08-20
2024,8000,55000,Lariat,4WD,Dealer,AB,f150-003,2026-08-19
2024,22000,47000,XLT,2WD,Private,AB,f150-004,2026-08-19
2024,15000,51000,XLT,4WD,Private,AB,f150-005,2026-08-18
2024,20000,68000,Lariat,4WD,Dealer,AB,f150-006,2026-08-20
2024,15000,62000,XLT,4WD,Dealer,AB,f150-007,2026-08-19
2024,10000,72000,Platinum,4WD,Dealer,AB,f150-008,2026-08-18
2024,25000,60000,XLT,2WD,Private,AB,f150-009,2026-08-17
2024,18000,65000,Lariat,4WD,Private,AB,f150-010,2026-08-16
2023,32000,45000,XLT,4WD,Dealer,AB,f150-011,2026-08-20
2023,40000,42500,XL,4WD,Dealer,AB,f150-012,2026-08-20
2023,28000,47500,Lariat,4WD,Private,AB,f150-013,2026-08-19
2023,35000,43000,XLT,2WD,Dealer,AB,f150-014,2026-08-18
2023,25000,48000,Lariat,4WD,Dealer,AB,f150-015,2026-08-17
2023,45000,40000,XL,2WD,Private,AB,f150-016,2026-08-16
2023,35000,58000,Lariat,4WD,Dealer,AB,f150-017,2026-08-20
2023,42000,55000,XLT,4WD,Dealer,AB,f150-018,2026-08-19
2023,30000,60000,Lariat,4WD,Private,AB,f150-019,2026-08-18
2023,48000,52000,XLT,2WD,Dealer,AB,f150-020,2026-08-17
2023,38000,56500,Lariat,4WD,Dealer,AB,f150-021,2026-08-16
2022,55000,38000,XLT,4WD,Dealer,AB,f150-022,2026-08-20
2022,48000,40500,Lariat,4WD,Dealer,AB,f150-023,2026-08-20
2022,60000,36000,XL,4WD,Private,AB,f150-024,2026-08-19
2022,42000,41000,XLT,4WD,Private,AB,f150-025,2026-08-18
2022,52000,37500,XLT,2WD,Dealer,AB,f150-026,2026-08-17
2022,65000,35000,XL,2WD,Private,AB,f150-027,2026-08-16
2022,58000,48000,Lariat,4WD,Dealer,AB,f150-028,2026-08-20
2022,65000,45000,XLT,4WD,Private,AB,f150-029,2026-08-19
2022,52000,50000,Lariat,4WD,Dealer,AB,f150-030,2026-08-18
2022,70000,43000,XLT,2WD,Dealer,AB,f150-031,2026-08-17
2022,60000,46500,XLT,4WD,Private,AB,f150-032,2026-08-16
2021,72000,33000,XLT,4WD,Dealer,AB,f150-033,2026-08-20
2021,68000,34500,Lariat,4WD,Dealer,AB,f150-034,2026-08-19
2021,80000,31000,XL,4WD,Private,AB,f150-035,2026-08-18
2021,75000,32000,XLT,2WD,Private,AB,f150-036,2026-08-17
2021,60000,35500,Lariat,4WD,Dealer,AB,f150-037,2026-08-16
2021,78000,40000,Lariat,4WD,Dealer,AB,f150-038,2026-08-20
2021,85000,37500,XLT,4WD,Private,AB,f150-039,2026-08-19
2021,72000,41000,Lariat,4WD,Dealer,AB,f150-040,2026-08-18
2021,90000,35000,XLT,2WD,Dealer,AB,f150-041,2026-08-17
2021,80000,38500,XLT,4WD,Private,AB,f150-042,2026-08-16
2020,90000,28000,XLT,4WD,Dealer,AB,f150-043,2026-08-20
2020,85000,29500,Lariat,4WD,Private,AB,f150-044,2026-08-19
2020,95000,26500,XL,2WD,Dealer,AB,f150-045,2026-08-18
2020,88000,27500,XLT,4WD,Private,AB,f150-046,2026-08-17
2020,100000,25000,XL,4WD,Dealer,AB,f150-047,2026-08-16
2020,95000,33000,Lariat,4WD,Dealer,AB,f150-048,2026-08-20
2020,105000,30000,XLT,4WD,Private,AB,f150-049,2026-08-19
2020,90000,34000,Lariat,4WD,Dealer,AB,f150-050,2026-08-18
2020,110000,28000,XL,2WD,Dealer,AB,f150-051,2026-08-17
2020,100000,31000,XLT,4WD,Private,AB,f150-052,2026-08-16
2019,110000,23000,XLT,4WD,Dealer,AB,f150-053,2026-08-20
2019,105000,24500,Lariat,4WD,Private,AB,f150-054,2026-08-19
2019,120000,21000,XL,2WD,Dealer,AB,f150-055,2026-08-18
2019,115000,22000,XLT,4WD,Private,AB,f150-056,2026-08-17
