Year,Mileage,Price,Trim,Drivetrain,Seller Type,Province,Source Record ID,Observed At
2024,15000,45000,XLT,4WD,Dealer,AB,ranger-001,2026-08-20
2024,20000,43000,XLT,4WD,Private,AB,ranger-002,2026-08-19
2023,30000,40000,XLT,4WD,Dealer,AB,ranger-003,2026-08-18
2023,35000,38500,XL,4WD,Dealer,AB,ranger-004,2026-08-17
2022,50000,34000,XLT,4WD,Private,AB,ranger-005,2026-08-16
2022,55000,32500,XL,4WD,Dealer,AB,ranger-006,2026-08-20
2021,65000,29000,XLT,4WD,Private,AB,ranger-007,2026-08-19
2021,70000,27500,XL,2WD,Dealer,AB,ranger-008,2026-08-18
2023,25000,42000,Lariat,4WD,Dealer,AB,ranger-009,2026-08-20
2024,12000,47000,Lariat,4WD,Dealer,AB,ranger-010,2026-08-19
2022,45000,36000,Lariat,4WD,Private,AB,ranger-011,2026-08-18
2020,80000,24000,XLT,4WD,Dealer,AB,ranger-012,2026-08-17
